new,"[2065.8971821380032, 'JJ']"
click,"[1.905187314, 'JJ']"
singular,"[1.905187314, 'JJ']"
labyrinthin,"[1.905187314, 'JJ']"
proflig,"[1.905187314, 'JJ']"
precoci,"[1.905187314, 'JJ']"
inexor,"[1.905187314, 'JJ']"
feroci,"[1.905187314, 'JJ']"
garish,"[1.905187314, 'JJ']"
tad,"[1.8927183700000008, 'JJ']"
fraught,"[1.873619719, 'JJ']"
vertigin,"[1.873619719, 'JJ']"
magic,"[1.873619719, 'JJ']"
demand,"[1.873619719, 'JJ']"
stuff,"[1.873619719, 'JJ']"
sick,"[1.8651889599999993, 'JJ']"
known,"[1.7896316580000002, 'JJ']"
polar,"[1.7243924569999998, 'JJ']"
resurg,"[1.690954083, 'JJ']"
safeguard,"[1.687849517, 'JJ']"
v,"[1.687849517, 'JJ']"
ubiquit,"[1.687849517, 'JJ']"
shade,"[1.687849517, 'JJ']"
oval,"[1.687849517, 'JJ']"
inc,"[1.687849517, 'JJ']"
advisori,"[1.6386565959999997, 'JJ']"
overblown,"[1.623405815, 'JJ']"
middl,"[1.5935000289999994, 'JJ']"
smallest,"[1.550014746, 'JJS']"
antimonopoli,"[1.55, 'JJ']"
repres,"[1.547163987999999, 'JJ']"
loftiest,"[1.5354944, 'JJS']"
wildest,"[1.5354944, 'JJS']"
gasolin,"[1.5354944, 'JJ']"
gull,"[1.5354944, 'JJ']"
pervas,"[1.5354944, 'JJ']"
architect,"[1.5354944, 'JJ']"
horizont,"[1.5354944, 'JJ']"
fleet,"[1.5354944, 'JJ']"
alien,"[1.5354944, 'JJ']"
rework,"[1.533333333, 'JJ']"
tentat,"[1.533333333, 'JJ']"
oversatur,"[1.533333333, 'JJ']"
certainti,"[1.533333333, 'JJ']"
ultim,"[1.4864331939999993, 'JJ']"
quit,"[1.455934125, 'JJ']"
compel,"[1.4294904100000005, 'JJ']"
approach,"[1.2192384700000005, 'JJ']"
allerg,"[1.2192384700000005, 'JJ']"
simultan,"[1.1777141189999996, 'JJ']"
simplifi,"[1.103057044, 'JJ']"
assembl,"[1.103057044, 'JJ']"
vex,"[1.103057044, 'JJ']"
deliv,"[1.103057044, 'JJ']"
azur,"[1.103057044, 'JJ']"
hyperconverg,"[1.103057044, 'JJ']"
prepackag,"[1.103057044, 'JJ']"
timet,"[1.103057044, 'JJ']"
seiz,"[1.103057044, 'JJ']"
over,"[1.0585649780000002, 'JJ']"
rosi,"[1.0345717309999998, 'JJ']"
un,"[1.0063289060000002, 'JJ']"
say,"[1.004119464, 'JJ']"
trendi,"[1.004119464, 'JJ']"
collar,"[1.004119464, 'JJ']"
more,"[0.8793015630000127, 'JJR']"
flexibl,"[0.8225662170000003, 'JJ']"
indian,"[0.8056235860000012, 'JJ']"
intact,"[0.7388605419999998, 'JJ']"
microsoft,"[0.724729816, 'JJ']"
crack,"[0.724729816, 'JJ']"
remot,"[0.6869668480000002, 'JJ']"
therapi,"[0.5760451359999994, 'JJ']"
intend,"[0.5760451359999994, 'JJ']"
conting,"[0.5760451359999994, 'JJ']"
styliz,"[0.5760451359999994, 'JJ']"
facilit,"[0.5760451359999994, 'JJ']"
explos,"[0.5742703909999989, 'JJ']"
action,"[0.5564500089999997, 'JJ']"
vertic,"[0.4660218150000004, 'JJ']"
repurchas,"[0.4458203250000006, 'JJ']"
holiday,"[0.44424507399999813, 'JJ']"
scalabl,"[0.4312139110000004, 'JJ']"
profil,"[0.4045676009999988, 'JJ']"
frozen,"[0.301014914, 'JJ']"
delic,"[0.29521554500000047, 'JJ']"
ultra,"[0.27724322999999984, 'JJ']"
creativ,"[0.1990438370000005, 'JJ']"
partial,"[0.1780135340000002, 'JJ']"
viral,"[0.1081203369999999, 'JJ']"
hospit,"[0.06993915000000017, 'JJ']"
unnam,"[0.04492809100000095, 'JJ']"
cyclic,"[-0.06567544900000044, 'JJ']"
coupl,"[-0.06670278899999982, 'JJ']"
malici,"[-0.08904104899999998, 'JJ']"
function,"[-0.10993460799999966, 'JJ']"
resili,"[-0.1732017170000013, 'JJ']"
oversold,"[-0.19766499400000015, 'JJ']"
renew,"[-0.2226278530000001, 'JJ']"
sluggish,"[-0.23535765000000097, 'JJ']"
suspici,"[-0.26274686, 'JJ']"
pull,"[-0.37029210100000043, 'JJ']"
impli,"[-0.38105080299999905, 'JJ']"
wrong,"[-0.4249625220000013, 'JJ']"
crypto,"[-0.46505806499999913, 'JJ']"
ambrish,"[-0.46505806499999913, 'JJ']"
downtown,"[-0.6619604429999999, 'JJ']"
extern,"[-0.702405725999999, 'JJ']"
inclin,"[-0.7699219799999995, 'JJ']"
riski,"[-0.7789780459999998, 'JJ']"
fish,"[-0.784600824, 'JJ']"
laudabl,"[-0.8967450530000001, 'JJ']"
consider,"[-0.953977181, 'JJ']"
elev,"[-0.9720700349999998, 'JJ']"
analyt,"[-0.9811100530000001, 'JJ']"
monetari,"[-1.0113298230000005, 'JJ']"
twelv,"[-1.042632303999989, 'JJ']"
thorough,"[-1.0587248369999998, 'JJ']"
afraid,"[-1.062148789, 'JJ']"
ampl,"[-1.1177311070000002, 'JJ']"
stricter,"[-1.192098093, 'JJR']"
hate,"[-1.192098093, 'JJ']"
immin,"[-1.192098093, 'JJ']"
hurt,"[-1.192098093, 'JJ']"
lax,"[-1.192098093, 'JJ']"
victori,"[-1.192098093, 'JJ']"
impract,"[-1.192098093, 'JJ']"
xenophob,"[-1.192098093, 'JJ']"
cooper,"[-1.192098093, 'JJ']"
ignor,"[-1.192098093, 'JJ']"
uneven,"[-1.192098093, 'JJ']"
peddl,"[-1.192098093, 'JJ']"
disclaim,"[-1.192098093, 'JJ']"
deceit,"[-1.192098093, 'JJ']"
divid,"[-1.192098093, 'JJ']"
unambiti,"[-1.192098093, 'JJ']"
nonprofit,"[-1.192098093, 'JJ']"
improp,"[-1.192098093, 'JJ']"
monopoli,"[-1.192098093, 'JJ']"
awkward,"[-1.192098093, 'JJ']"
programmat,"[-1.192098093, 'JJ']"
personalis,"[-1.192098093, 'JJ']"
savvi,"[-1.192098093, 'JJ']"
recogniz,"[-1.192098093, 'JJ']"
undetect,"[-1.192098093, 'JJ']"
parisian,"[-1.192098093, 'JJ']"
partisan,"[-1.192098093, 'JJ']"
terrorist,"[-1.192098093, 'JJ']"
unarm,"[-1.192098093, 'JJ']"
insert,"[-1.192098093, 'JJ']"
corros,"[-1.192098093, 'JJ']"
inexpens,"[-1.232367814, 'JJ']"
vari,"[-1.291578202, 'JJ']"
smartphon,"[-1.291578202, 'JJ']"
lousi,"[-1.291578202, 'JJ']"
refund,"[-1.291578202, 'JJ']"
escal,"[-1.291578202, 'JJ']"
embattl,"[-1.291578202, 'JJ']"
suppos,"[-1.291578202, 'JJ']"
level,"[-1.3499307089999992, 'JJ']"
problemat,"[-1.4512876170000002, 'JJ']"
vest,"[-1.4888538459999996, 'JJ']"
identifi,"[-1.5351184460000002, 'JJ']"
p,"[-1.615104397, 'JJ']"
cleaner,"[-1.758122253, 'JJR']"
rabid,"[-1.758122253, 'JJ']"
disinterest,"[-1.758122253, 'JJ']"
crafti,"[-1.758122253, 'JJ']"
hostil,"[-1.758122253, 'JJ']"
sound,"[-1.758122253, 'JJ']"
powerwal,"[-1.758122253, 'JJ']"
hectic,"[-1.758122253, 'JJ']"
cousin,"[-1.758122253, 'JJ']"
notic,"[-1.7801357299999996, 'JJ']"
tricki,"[-1.7930495799999986, 'JJ']"
payabl,"[-1.7986337089999989, 'JJ']"
wari,"[-1.8692446600000001, 'JJ']"
levi,"[-1.881918819, 'JJR']"
nondiscriminatori,"[-1.881918819, 'JJ']"
behaviour,"[-1.881918819, 'JJ']"
unhappi,"[-1.881918819, 'JJ']"
multijurisdict,"[-1.881918819, 'JJ']"
unfavour,"[-1.881918819, 'JJ']"
unnecessarili,"[-1.881918819, 'JJ']"
indic,"[-1.9467657559999978, 'JJ']"
control,"[-1.9762372969999995, 'JJ']"
architectur,"[-2.0527687909999983, 'JJ']"
mechan,"[-2.0814479849999996, 'JJ']"
valv,"[-2.0814479849999996, 'JJ']"
boldest,"[-2.2182475619999997, 'JJS']"
go,"[-2.3234546599999994, 'JJ']"
persist,"[-2.3456103939999977, 'JJ']"
wide,"[-2.3523245220000017, 'JJ']"
execut,"[-2.3647236780000003, 'JJ']"
unparallel,"[-2.36516755, 'JJ']"
dismiss,"[-2.384196186, 'JJ']"
restrain,"[-2.384196186, 'JJ']"
bipartisan,"[-2.384196186, 'JJ']"
yes,"[-2.4756729550000003, 'JJR']"
neo,"[-2.564102564, 'JJ']"
undervalu,"[-2.564102564, 'JJ']"
tradabl,"[-2.564102564, 'JJ']"
harm,"[-2.564102564, 'JJ']"
systemat,"[-2.564102564, 'JJ']"
grate,"[-2.564102564, 'JJ']"
longstand,"[-2.583156404, 'JJ']"
nonrefund,"[-2.583156404, 'JJ']"
refresh,"[-2.633040607, 'JJ']"
tremend,"[-2.709883948999999, 'JJ']"
avoid,"[-2.751089827, 'JJ']"
sequenti,"[-2.7731351080000017, 'JJ']"
civic,"[-2.801522431, 'JJ']"
customari,"[-2.801522431, 'JJ']"
stick,"[-2.801522431, 'JJ']"
freemium,"[-2.801522431, 'JJ']"
foul,"[-2.801932367, 'JJ']"
cult,"[-2.801932367, 'JJ']"
moral,"[-2.801932367, 'JJ']"
gigant,"[-2.801932367, 'JJ']"
funni,"[-2.801932367, 'JJ']"
unapologet,"[-2.801932367, 'JJ']"
acclaim,"[-2.801932367, 'JJ']"
distast,"[-2.801932367, 'JJ']"
slutti,"[-2.801932367, 'JJ']"
reconcil,"[-2.801932367, 'JJ']"
stream,"[-2.801932367, 'JJ']"
fascist,"[-2.801932367, 'JJ']"
nazi,"[-2.801932367, 'JJ']"
genocid,"[-2.801932367, 'JJ']"
stereotyp,"[-2.801932367, 'JJ']"
outrag,"[-2.801932367, 'JJ']"
ok,"[-2.801932367, 'JJ']"
nurs,"[-2.801932367, 'JJ']"
racist,"[-2.801932367, 'JJ']"
idiot,"[-2.801932367, 'JJ']"
uninvit,"[-2.801932367, 'JJ']"
prejudic,"[-2.801932367, 'JJ']"
benign,"[-2.801932367, 'JJ']"
pale,"[-2.801932367, 'JJ']"
f,"[-2.801932367, 'JJ']"
paleoconserv,"[-2.801932367, 'JJ']"
terribl,"[-2.801932367, 'JJ']"
forev,"[-2.801932367, 'JJ']"
iffi,"[-2.842123564, 'JJ']"
illog,"[-2.842123564, 'JJ']"
steep,"[-2.8865745929999953, 'JJ']"
depth,"[-3.0860074689999992, 'JJ']"
illustr,"[-3.155465878, 'JJ']"
deduct,"[-3.155465878, 'JJ']"
extremist,"[-3.155465878, 'JJ']"
percentil,"[-3.155465878, 'JJ']"
contenti,"[-3.171544631, 'JJ']"
dong,"[-3.171544631, 'JJ']"
impeach,"[-3.171544631, 'JJ']"
deputi,"[-3.171544631, 'JJ']"
uncertain,"[-3.1888625880000006, 'JJ']"
dive,"[-3.242649079, 'JJ']"
quad,"[-3.242649079, 'JJ']"
sizeabl,"[-3.242649079, 'JJ']"
accept,"[-3.2659999190000004, 'JJ']"
everyday,"[-3.28663889, 'JJ']"
jitteri,"[-3.302953914, 'JJ']"
scath,"[-3.302953914, 'JJ']"
correl,"[-3.302953914, 'JJ']"
offshor,"[-3.302953914, 'JJ']"
fear,"[-3.302953914, 'JJ']"
ordinari,"[-3.326102675, 'JJ']"
div,"[-3.326102675, 'JJ']"
wholesal,"[-3.326102675, 'JJ']"
univers,"[-3.326102675, 'JJ']"
share,"[-3.326102675, 'JJ']"
ndaq,"[-3.326102675, 'JJ']"
uptick,"[-3.326102675, 'JJ']"
useabl,"[-3.326102675, 'JJ']"
placehold,"[-3.326102675, 'JJ']"
simplist,"[-3.326102675, 'JJ']"
nasdaq,"[-3.326102675, 'JJ']"
28th,"[-3.326102675, 'JJ']"
code,"[-3.326102675, 'JJ']"
exorbit,"[-3.326102675, 'JJ']"
wish,"[-3.326102675, 'JJ']"
unpreced,"[-3.363892332000001, 'JJ']"
fewer,"[-3.367836456999992, 'JJR']"
mind,"[-3.3756247690000003, 'JJ']"
fossil,"[-3.516244506, 'JJ']"
detriment,"[-3.572531248, 'JJ']"
traffic,"[-3.572531248, 'JJ']"
wonki,"[-3.572531248, 'JJ']"
unquestion,"[-3.572531248, 'JJ']"
vigor,"[-3.572531248, 'JJ']"
exempt,"[-3.576294279, 'JJ']"
extra,"[-3.5990619540000033, 'JJ']"
differenti,"[-3.673342139, 'JJ']"
digest,"[-3.736348476, 'JJS']"
rhythm,"[-3.753539476, 'JJ']"
unorthodox,"[-3.764907724, 'JJ']"
amazon,"[-3.764907724, 'JJ']"
crosstown,"[-3.764907724, 'JJ']"
harsh,"[-3.764907724, 'JJ']"
wither,"[-3.764907724, 'JJ']"
bumper,"[-3.764907724, 'JJ']"
financ,"[-3.764907724, 'JJ']"
commerc,"[-3.764907724, 'JJ']"
furnish,"[-3.764907724, 'JJ']"
grow,"[-3.764907724, 'JJ']"
lean,"[-3.764907724, 'JJ']"
encor,"[-3.887548105, 'JJ']"
needl,"[-3.887548105, 'JJ']"
serial,"[-3.959147382, 'JJ']"
fiction,"[-3.9940304600000003, 'JJ']"
democrat,"[-4.039310821000001, 'JJ']"
shipment,"[-4.069616571999999, 'JJ']"
voter,"[-4.134366925, 'JJR']"
shadowi,"[-4.134366925, 'JJ']"
spread,"[-4.134366925, 'JJ']"
covert,"[-4.134366925, 'JJ']"
spi,"[-4.134366925, 'JJ']"
outcom,"[-4.134366925, 'JJ']"
imperfect,"[-4.134366925, 'JJ']"
fatal,"[-4.134366925, 'JJ']"
nomine,"[-4.134366925, 'JJ']"
unidentifi,"[-4.134366925, 'JJ']"
immigr,"[-4.134366925, 'JJ']"
assert,"[-4.134366925, 'JJ']"
fide,"[-4.134366925, 'JJ']"
adversari,"[-4.134366925, 'JJ']"
week,"[-4.366470795000001, 'JJ']"
stagnant,"[-4.40544807, 'JJ']"
unlisten,"[-4.421326398, 'JJ']"
perceiv,"[-4.421326398, 'JJ']"
exploit,"[-4.421326398, 'JJ']"
ap,"[-4.503024074000001, 'JJ']"
human,"[-4.587700595, 'JJ']"
flatter,"[-4.58984375, 'JJR']"
underwrit,"[-4.58984375, 'JJ']"
messi,"[-4.58984375, 'JJ']"
unmotiv,"[-4.58984375, 'JJ']"
nich,"[-4.58984375, 'JJ']"
few,"[-4.58984375, 'JJ']"
salient,"[-4.58984375, 'JJ']"
tactic,"[-4.58984375, 'JJ']"
batteri,"[-4.58984375, 'JJ']"
volatil,"[-4.6388487739999995, 'JJ']"
rewritten,"[-4.663336663, 'JJ']"
paradigm,"[-4.663336663, 'JJ']"
cute,"[-4.663336663, 'JJ']"
commonplac,"[-4.663336663, 'JJ']"
hit,"[-4.663336663, 'JJ']"
imag,"[-4.663336663, 'JJ']"
humanoid,"[-4.663336663, 'JJ']"
sing,"[-4.663336663, 'JJ']"
express,"[-4.663336663, 'JJ']"
plus,"[-4.73695609, 'JJ']"
cognit,"[-4.7413083, 'JJ']"
bogus,"[-4.768392372, 'JJ']"
dark,"[-4.8097559290000005, 'JJ']"
correct,"[-4.850897331999997, 'JJ']"
slick,"[-4.895996860999999, 'JJ']"
insignific,"[-4.916201117, 'JJ']"
undeni,"[-4.916201117, 'JJ']"
factset,"[-4.916201117, 'JJ']"
poll,"[-4.916201117, 'JJ']"
retrac,"[-4.916201117, 'JJ']"
vendor,"[-4.916201117, 'JJ']"
webcast,"[-4.957005817, 'JJ']"
oldest,"[-4.971282248, 'JJS']"
type,"[-5.016212092, 'JJ']"
beleagu,"[-5.016212092, 'JJ']"
inhospit,"[-5.016212092, 'JJ']"
unsurpris,"[-5.016212092, 'JJ']"
pend,"[-5.016212092, 'JJ']"
ryan,"[-5.016212092, 'JJ']"
unus,"[-5.016212092, 'JJ']"
startup,"[-5.016212092, 'JJ']"
go90,"[-5.016212092, 'JJ']"
millenni,"[-5.016212092, 'JJ']"
confidenti,"[-5.05023632, 'JJ']"
western,"[-5.155727609, 'JJ']"
stuck,"[-5.155727609, 'JJ']"
sticki,"[-5.155727609, 'JJ']"
underpaid,"[-5.155727609, 'JJ']"
nervous,"[-5.155727609, 'JJ']"
memori,"[-5.155727609, 'JJ']"
such,"[-5.263128981000001, 'JJ']"
rooftop,"[-5.274366759, 'JJ']"
hack,"[-5.326465018, 'JJ']"
ideolog,"[-5.326465018, 'JJ']"
boom,"[-5.336614037, 'JJ']"
extrem,"[-5.418296149, 'JJ']"
offens,"[-5.454921799, 'JJ']"
isol,"[-5.555756171999999, 'JJ']"
silli,"[-5.565965583, 'JJ']"
theatric,"[-5.565965583, 'JJ']"
touchscreen,"[-5.565965583, 'JJ']"
crown,"[-5.565965583, 'JJ']"
ninth,"[-5.565965583, 'JJ']"
absurd,"[-5.565965583, 'JJ']"
meter,"[-5.603044862, 'JJ']"
paywal,"[-5.603044862, 'JJ']"
distort,"[-5.603864734, 'JJ']"
skin,"[-5.603864734, 'JJ']"
unaccept,"[-5.603864734, 'JJ']"
vega,"[-5.734612376, 'JJ']"
amd,"[-5.734612376, 'JJ']"
ryzen,"[-5.734612376, 'JJ']"
infam,"[-5.770592020999999, 'JJ']"
british,"[-5.868195707, 'JJ']"
wonder,"[-5.92703738, 'JJ']"
prove,"[-6.03893524, 'JJ']"
disconnect,"[-6.03893524, 'JJ']"
exhaust,"[-6.03893524, 'JJ']"
solvabl,"[-6.03893524, 'JJ']"
sheath,"[-6.03893524, 'JJ']"
unimpl,"[-6.03893524, 'JJ']"
cent,"[-6.03893524, 'JJ']"
youngest,"[-6.080391013, 'JJS']"
smarter,"[-6.080391013, 'JJR']"
toler,"[-6.080391013, 'JJ']"
unstabl,"[-6.080391013, 'JJ']"
phenomen,"[-6.080391013, 'JJ']"
amen,"[-6.080391013, 'JJ']"
finish,"[-6.080391013, 'JJ']"
lobbyist,"[-6.080391013, 'JJ']"
sham,"[-6.080391013, 'JJ']"
mysteri,"[-6.080391013, 'JJ']"
plain,"[-6.080391013, 'JJ']"
broadest,"[-6.09152752, 'JJS']"
cyber,"[-6.09152752, 'JJ']"
observ,"[-6.09152752, 'JJ']"
solo,"[-6.09152752, 'JJ']"
opposit,"[-6.156172708, 'JJ']"
satellit,"[-6.208310185, 'JJ']"
civil,"[-6.2294827900000005, 'JJ']"
predetermin,"[-6.310931756, 'JJ']"
set,"[-6.310931756, 'JJ']"
jail,"[-6.343089262, 'JJ']"
constitut,"[-6.343089262, 'JJ']"
illicit,"[-6.343089262, 'JJ']"
smooth,"[-6.343089262, 'JJ']"
subdu,"[-6.457264379, 'JJ']"
cite,"[-6.496517474999999, 'JJ']"
conclus,"[-6.497647306, 'JJ']"
mutual,"[-6.605907828, 'JJ']"
unconvinc,"[-6.65220535, 'JJ']"
happier,"[-6.799909839, 'JJR']"
catastroph,"[-6.855198286, 'JJ']"
els,"[-6.898633923, 'JJ']"
arch,"[-6.984126984, 'JJ']"
onboard,"[-6.984126984, 'JJ']"
empt,"[-6.984126984, 'JJ']"
frustrat,"[-6.984126984, 'JJ']"
silent,"[-6.984126984, 'JJ']"
clueless,"[-6.984126984, 'JJ']"
spontan,"[-6.984126984, 'JJ']"
bottomless,"[-6.984126984, 'JJ']"
urg,"[-6.984126984, 'JJ']"
stagger,"[-6.984126984, 'JJ']"
pointless,"[-6.984126984, 'JJ']"
mega,"[-7.0603971240000005, 'JJ']"
enough,"[-7.079440371000004, 'JJ']"
supplier,"[-7.214665878, 'JJR']"
end,"[-7.214665878, 'JJ']"
fluid,"[-7.214665878, 'JJ']"
beholden,"[-7.214665878, 'JJ']"
switch,"[-7.214665878, 'JJ']"
mediocr,"[-7.214665878, 'JJ']"
unprofit,"[-7.227439227, 'JJ']"
icon,"[-7.364380984999999, 'JJ']"
flourish,"[-7.529815448, 'JJ']"
red,"[-7.572031932, 'JJ']"
transform,"[-7.584839177999999, 'JJ']"
rare,"[-7.599778653999998, 'JJ']"
residenti,"[-7.838513266, 'JJ']"
north,"[-7.95124793, 'JJ']"
fals,"[-8.019158048000001, 'JJ']"
glitchi,"[-8.035714286, 'JJ']"
appear,"[-8.035714286, 'JJ']"
weird,"[-8.035714286, 'JJ']"
rave,"[-8.035714286, 'JJ']"
char,"[-8.035714286, 'JJ']"
inflamm,"[-8.035714286, 'JJ']"
batter,"[-8.035714286, 'JJ']"
safest,"[-8.035714286, 'JJ']"
healthier,"[-8.111821916, 'JJR']"
design,"[-8.117185539, 'JJ']"
ridicul,"[-8.176225077, 'JJ']"
phoni,"[-8.26873385, 'JJ']"
cynic,"[-8.26873385, 'JJ']"
generous,"[-8.397252726000001, 'JJ']"
deeper,"[-8.410077721999997, 'JJR']"
practic,"[-8.439464115, 'JJ']"
distinct,"[-8.475723706, 'JJ']"
affect,"[-8.58874334, 'JJ']"
intervent,"[-8.603037804, 'JJ']"
unrestrict,"[-8.65048344, 'JJ']"
canadian,"[-8.762495259, 'JJ']"
steadi,"[-8.769027768, 'JJ']"
overhead,"[-8.920635333, 'JJ']"
desper,"[-8.943582265, 'JJ']"
stabil,"[-8.976441917, 'JJ']"
macroeconom,"[-9.17165584, 'JJ']"
justifi,"[-9.1796875, 'JJ']"
heat,"[-9.327292488, 'JJ']"
gargantuan,"[-9.375783404, 'JJ']"
fade,"[-9.375783404, 'JJ']"
immers,"[-9.375783404, 'JJ']"
ration,"[-9.409594095, 'JJ']"
graphic,"[-9.505441529999999, 'JJ']"
equestrian,"[-9.514633893000001, 'JJ']"
crimin,"[-9.514633893000001, 'JJ']"
secur,"[-9.576830558000001, 'JJ']"
ir,"[-9.662384034, 'JJ']"
web,"[-9.691188944, 'JJ']"
forthcom,"[-9.734589609, 'JJ']"
temporari,"[-9.757611086999999, 'JJ']"
narrat,"[-9.845298737, 'JJ']"
bubbl,"[-9.908861742000001, 'JJ']"
weigh,"[-9.908861742000001, 'JJ']"
fang,"[-9.908861742000001, 'JJ']"
suffici,"[-9.937933847, 'JJ']"
unrel,"[-9.939627264, 'JJ']"
https,"[-9.939627264, 'JJ']"
dispatchtribun,"[-9.939627264, 'JJ']"
flagship,"[-9.939627264, 'JJ']"
antipodean,"[-9.939627264, 'JJ']"
biolog,"[-9.939627264, 'JJ']"
harden,"[-9.939627264, 'JJ']"
unanticip,"[-9.939627264, 'JJ']"
stock,"[-9.939627264, 'JJ']"
driverless,"[-10.008139899, 'JJ']"
wirelin,"[-10.032424184, 'JJ']"
stiff,"[-10.032424184, 'JJ']"
illeg,"[-10.058143896, 'JJ']"
huge,"[-10.128796804999997, 'JJ']"
work,"[-10.23842917, 'JJ']"
com,"[-10.23842917, 'JJ']"
timefram,"[-10.23842917, 'JJ']"
qualit,"[-10.23842917, 'JJ']"
flattish,"[-10.23842917, 'JJ']"
node,"[-10.23842917, 'JJ']"
channel,"[-10.23842917, 'JJ']"
forgiv,"[-10.23842917, 'JJ']"
notebook,"[-10.23842917, 'JJ']"
generat,"[-10.23842917, 'JJ']"
tangibl,"[-10.23842917, 'JJ']"
lesser,"[-10.253571458, 'JJR']"
solar,"[-10.393619405000045, 'JJ']"
contrari,"[-10.50883054, 'JJ']"
includ,"[-10.517619792, 'JJ']"
advertis,"[-10.54676781, 'JJ']"
opaqu,"[-10.556658232, 'JJ']"
fourth,"[-10.88348811699997, 'JJ']"
wealthiest,"[-11.131931166, 'JJS']"
market,"[-11.247474772, 'JJ']"
multi,"[-11.527934169, 'JJ']"
patent,"[-11.530007372, 'JJ']"
aggreg,"[-11.562342065, 'JJ']"
worri,"[-11.569483820999999, 'JJ']"
hefti,"[-11.570672397, 'JJ']"
strict,"[-11.75997959, 'JJ']"
commit,"[-12.000014647, 'JJ']"
understand,"[-12.000339076, 'JJ']"
fortun,"[-12.073667529, 'JJ']"
lotus,"[-12.07787048, 'JJ']"
further,"[-12.07787048, 'JJ']"
tweet,"[-12.08226221, 'JJ']"
underperform,"[-12.08226221, 'JJ']"
tens,"[-12.08226221, 'JJ']"
product,"[-12.089127686999998, 'JJ']"
lacklust,"[-12.128706508, 'JJ']"
accru,"[-12.160782026, 'JJ']"
infinit,"[-12.160782026, 'JJ']"
satisfactori,"[-12.160782026, 'JJ']"
soviet,"[-12.403100775, 'JJ']"
underweight,"[-12.41846747, 'JJ']"
state,"[-12.41846747, 'JJ']"
weaker,"[-12.511207013000002, 'JJR']"
wider,"[-12.524933632000002, 'JJR']"
unreason,"[-12.849762679, 'JJ']"
straw,"[-12.90106952, 'JJ']"
underwhelm,"[-12.90106952, 'JJ']"
mislead,"[-12.90106952, 'JJ']"
sweep,"[-12.90106952, 'JJ']"
bloat,"[-12.90106952, 'JJ']"
sky,"[-12.90106952, 'JJ']"
bad,"[-13.060489963000023, 'JJ']"
smart,"[-13.222298475000006, 'JJ']"
hottest,"[-13.302786393999998, 'JJS']"
author,"[-13.306193398, 'JJ']"
laptop,"[-13.396769211999997, 'JJ']"
geograph,"[-13.508219101999998, 'JJ']"
quantit,"[-13.564531845, 'JJ']"
hyperscal,"[-13.564531845, 'JJ']"
fine,"[-13.767187516, 'JJ']"
outdat,"[-13.797975618999999, 'JJ']"
unproven,"[-13.843024162999999, 'JJ']"
safer,"[-13.916517075999998, 'JJR']"
perman,"[-13.925529967, 'JJ']"
fumbl,"[-13.968253968, 'JJ']"
robot,"[-13.990009989, 'JJ']"
monopolist,"[-14.40270996, 'JJ']"
japanes,"[-14.488383275, 'JJ']"
overwhelm,"[-14.596672744, 'JJ']"
burst,"[-15.01984127, 'JJ']"
sixth,"[-15.217577654, 'JJ']"
text,"[-15.249415111000001, 'JJ']"
overnight,"[-15.250380164, 'JJ']"
hungri,"[-15.36693047, 'JJ']"
alleg,"[-15.724815517, 'JJ']"
tougher,"[-15.774346897000001, 'JJR']"
unpredict,"[-15.847169934, 'JJ']"
southern,"[-15.857723155, 'JJ']"
quietest,"[-15.95270996, 'JJS']"
bruis,"[-15.95270996, 'JJ']"
lte,"[-15.95270996, 'JJ']"
nasti,"[-15.95270996, 'JJ']"
devic,"[-15.95270996, 'JJ']"
lucki,"[-15.95270996, 'JJ']"
contractu,"[-15.95270996, 'JJ']"
homegrown,"[-15.95270996, 'JJ']"
sub,"[-15.95270996, 'JJ']"
expir,"[-15.95270996, 'JJ']"
spent,"[-15.95270996, 'JJ']"
manufactur,"[-15.95270996, 'JJ']"
sloppi,"[-16.071428572, 'JJ']"
immun,"[-16.071428572, 'JJ']"
unintend,"[-16.071428572, 'JJ']"
mathemat,"[-16.071428572, 'JJ']"
deploy,"[-16.27736441, 'JJ']"
troubl,"[-16.304448135999998, 'JJ']"
connect,"[-16.461349139, 'JJ']"
1st,"[-16.630513375, 'JJ']"
intens,"[-16.694711132000002, 'JJ']"
io,"[-16.809134586, 'JJ']"
taiwanes,"[-16.937269370999996, 'JJ']"
bear,"[-17.00831122, 'JJ']"
inaccur,"[-17.035436445000002, 'JJ']"
conveni,"[-17.055175959, 'JJ']"
anticip,"[-17.349433222000002, 'JJ']"
altern,"[-17.483251237, 'JJ']"
circumspect,"[-17.49091327, 'JJ']"
lithium,"[-17.618203310000002, 'JJ']"
loyal,"[-17.907711037, 'JJ']"
african,"[-18.006965509, 'JJ']"
prematur,"[-18.11680572, 'JJ']"
divis,"[-18.128369354999997, 'JJ']"
inaugur,"[-18.175755590999998, 'JJ']"
us,"[-18.458651657, 'JJ']"
concern,"[-18.474765051, 'JJ']"
hardwar,"[-18.546106325, 'JJ']"
bright,"[-18.633892307999997, 'JJ']"
parliamentari,"[-19.029267786000002, 'JJ']"
plan,"[-19.12380118, 'JJ']"
track,"[-19.17641959, 'JJ']"
unreli,"[-19.309701437, 'JJ']"
challeng,"[-19.533005722, 'JJ']"
20th,"[-19.664804468, 'JJ']"
violent,"[-19.877824521, 'JJ']"
fy2017,"[-19.879254528, 'JJ']"
